url,label,xml_id
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f193/full/full/0/native.jpg,"94r",f192
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f194/full/full/0/native.jpg,"94v",f193
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f195/full/full/0/native.jpg,"95r",f194
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f196/full/full/0/native.jpg,"95v",f195
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f197/full/full/0/native.jpg,"96r",f196
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f198/full/full/0/native.jpg,"96v",f197
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f199/full/full/0/native.jpg,"97r",f198
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f200/full/full/0/native.jpg,"97v",f199
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f201/full/full/0/native.jpg,"98r",f200
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f202/full/full/0/native.jpg,"98v",f201
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f203/full/full/0/native.jpg,"99r",f202
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f204/full/full/0/native.jpg,"99v",f203
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f205/full/full/0/native.jpg,"100r",f204
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f206/full/full/0/native.jpg,"100v",f205
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f207/full/full/0/native.jpg,"101r",f206
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f208/full/full/0/native.jpg,"101v",f207
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f209/full/full/0/native.jpg,"102r",f208
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f210/full/full/0/native.jpg,"102v",f209
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f211/full/full/0/native.jpg,"103r",f210
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f212/full/full/0/native.jpg,"130v",f211
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f213/full/full/0/native.jpg,"104r",f212
